empire,base_terrain,wooded_terrain,reason
e_bloodless_men,drylands,,"The lore maps depict the Bloodless Men hinterland as arid country east of the Grey Waste."
e_bone_mountain_dothraki,steppe,forest,"The lore maps place this scope across the Dothraki and Jogos grassland frontier around the Bone Mountains."
e_cannibal_sands,drylands,,"The lore maps identify the Cannibal Sands as an arid transition toward the Grey Waste."
e_golden_yi_ti,plains,forest,"The lore maps depict Yi Ti as a settled lowland realm broken by broad forest belts."
e_great_grass_sea_dothraki,steppe,forest,"The lore maps identify the Dothraki Sea as the world's principal grassland belt."
e_great_moraq,plains,jungle,"Both lore maps depict Great Moraq as a heavily wooded tropical island."
e_hidden_sea,plains,forest,"The lore maps depict the Hidden Sea hinterland as mixed eastern lowland and woodland."
e_ibben,taiga,taiga,"The lore maps place Ibben in the cold Shivering Sea with northern woodland and exposed uplands."
e_ifequevron,taiga,taiga,"Both lore maps depict the Kingdom of the Ifequevron as a northern forest realm."
e_jogos_nhai,steppe,forest,"The lore maps label the broad interior as the Plain of the Jogos Nhai with isolated wooded margins."
e_leng,plains,jungle,"Both lore maps depict Leng as a humid and densely wooded island."
e_lesser_moraq,plains,jungle,"The lore maps depict Lesser Moraq as part of the wooded Jade Sea island belt."
e_lhazar,drylands,,"The lore maps depict Lhazar as dry country between Slaver's Bay and the Red Waste."
e_lorath,plains,forest,"The lore maps depict Lorath and its nearby mainland as temperate lowland with local woods."
e_lower_sarne_dothraki,steppe,forest,"The lore maps place this scope in the western Dothraki grasslands and Forest of Qohor transition."
e_mossovy,taiga,taiga,"Both lore maps depict Mossovy as a far-northeastern forest realm."
e_naath,plains,jungle,"Both lore maps depict Naath as a lush tropical island."
e_norvos,plains,forest,"The lore maps depict Norvos as temperate river country adjoining the Forest of Qohor."
e_omber,steppe,forest,"The lore maps depict Omber as northern grassland with wooded coastal margins."
e_qarth,desert,,"The lore maps place Qarth on the arid Red Waste and Great Sand Sea margin."
e_qohor,plains,forest,"Both lore maps place Qohor beside its major forest."
e_sarnor,steppe,forest,"The lore maps depict Sarnor as open grassland crossed by the Sarne river system."
e_sothoryos,plains,jungle,"Both lore maps depict Sothoryos as overwhelmingly tropical jungle."
e_summer_isles,plains,jungle,"Both lore maps depict the Summer Isles as humid and heavily wooded."
e_thousand_islands,wetlands,jungle,"The lore maps depict this low island maze as a wet coastal environment."
e_ulthos,plains,jungle,"The lore maps depict the known Ulthosi coast as dark humid woodland beneath the Shadow Lands."
e_upper_sarne_dothraki,steppe,forest,"The lore maps place this scope in the northern Dothraki grasslands and wooded frontier."
