scope_type,scope,start_date,end_date,min_tier,max_tier,government,faith,confidence,reason,source_url
title,d_dosh_khaleen,,,,,theocracy_government,,high,The Dosh Khaleen are the Dothraki priestly council and religious head.,https://awoiaf.westeros.org/index.php/Dosh_khaleen
culture,dothraki,,,,,nomad_government,,high,Dothraki political organization is the mobile khalasar.,https://awoiaf.westeros.org/index.php/Dothraki
culture,jogos_nhai,,,,,nomad_government,,high,Jogos Nhai live and fight in mobile jhats led by jhats and jhattars.,https://awoiaf.westeros.org/index.php/Jogos_Nhai
culture,shadowman,,,,,tribal_government,,low,Shadow Men outside Asshai have no described centralized state.,https://awoiaf.westeros.org/index.php/Shadow_Men
empire,e_bloodless_men,,,,,tribal_government,,low,Only legendary cities and inhabitants are described; tribal is the least presumptive playable form.,https://awoiaf.westeros.org/index.php/Cities_of_the_Bloodless_Men
empire,e_cannibal_sands,,,,,tribal_government,,low,The inhabitants are known only as cannibals without a described centralized state.,https://awoiaf.westeros.org/index.php/Cannibal_Sands
empire,e_hidden_sea,,,,,clan_government,,medium,The fortress cities of Hyrkoon are ruled by hereditary Great Fathers.,https://awoiaf.westeros.org/index.php/Kayakayanaya
empire,e_ibben,,7899.8.13,,,feudal_government,ib_ven_god_king,high,Ib was ruled by God-Kings before the Doom.,https://awoiaf.westeros.org/index.php/God-King_of_Ib
empire,e_ibben,7899.8.14,,,,oligarchic_government,ib_ven_sound,high,The Shadow Council rules Ibben after the last God-King.,https://awoiaf.westeros.org/index.php/Shadow_Council
empire,e_ifequevron,,,,,tribal_government,,low,The vanished wood walkers have no described feudal state.,https://awoiaf.westeros.org/index.php/Kingdom_of_the_Ifequevron
empire,e_lesser_moraq,,,,,feudal_government,,low,Lesser Moraq is a settled island with no described special constitutional form.,https://awoiaf.westeros.org/index.php/Lesser_Moraq
empire,e_mossovy,,,,,tribal_government,,low,Mossovy has almost no described political organization.,https://awoiaf.westeros.org/index.php/Mossovy
empire,e_naath,,,,,tribal_government,,medium,Conservative representation of the decentralized and pacifist Naathi communities.,https://awoiaf.westeros.org/index.php/Naathi
empire,e_omber,,,,,feudal_government,,medium,Omber is described as a kingdom ruled by kings and princes.,https://awoiaf.westeros.org/index.php/Kingdom_of_Omber
history_file,vassal_titles_e_qohor.txt,,,,,administrative_government,,medium,AGOT owns the canon k_qohor; this Further East file holds only a Qohorik-culture rump kingdom with no empire parent, kept on the Free City's civic-elite form.,https://awoiaf.westeros.org/index.php/Qohor
empire,e_sarnor,,,,,feudal_government,,high,Sarnori cities were hereditary kingdoms under a High King.,https://awoiaf.westeros.org/index.php/Sarnor
empire,e_sothoryos,,,,,tribal_government,,medium,Native Sothoryi use tribal government while explicit corsair history remains pirate.,https://awoiaf.westeros.org/index.php/Sothoryos
empire,e_summer_isles,,,,,feudal_government,,medium,Conservative representation of the islands' hereditary princes.,https://awoiaf.westeros.org/index.php/Summer_Isles
empire,e_thousand_islands,,,,,tribal_government,,medium,The xenophobic island communities have no centralized maritime state and fear the sea.,https://awoiaf.westeros.org/index.php/Thousand_Islands
empire,e_ulthos,,,,,tribal_government,,low,Ulthos has no described state; tribal is the least presumptive playable form.,https://awoiaf.westeros.org/index.php/Ulthos
empire,e_bone_mountain_dothraki,,,,,nomad_government,,high,Dothraki political organization is the mobile khalasar.,https://awoiaf.westeros.org/index.php/Dothraki
empire,e_great_grass_sea_dothraki,,,,,nomad_government,,high,Dothraki political organization is the mobile khalasar.,https://awoiaf.westeros.org/index.php/Dothraki
empire,e_lower_sarne_dothraki,,,,,nomad_government,,high,Dothraki political organization is the mobile khalasar.,https://awoiaf.westeros.org/index.php/Dothraki
empire,e_upper_sarne_dothraki,,,,,nomad_government,,high,Dothraki political organization is the mobile khalasar.,https://awoiaf.westeros.org/index.php/Dothraki
empire,e_lhazar,,,,,clan_government,,medium,Lhazareen society is organized around settled pastoral communities rather than raiding tribes.,https://awoiaf.westeros.org/index.php/Lhazar
empire,e_qarth,,,,,oligarchic_government,,high,Qarth is divided among the Pureborn and powerful merchant guilds.,https://awoiaf.westeros.org/index.php/Qarth
empire,e_golden_yi_ti,,,4,4,celestial_government,,high,The God-Emperor is the supreme ruler of Yi Ti.,https://awoiaf.westeros.org/index.php/Yi_Ti
empire,e_golden_yi_ti,,,1,3,meritocratic_government,,high,Yi Ti's subordinate princes and governors fit the meritocratic administrative framework.,https://awoiaf.westeros.org/index.php/Yi_Ti
empire,e_jogos_nhai,,,,,nomad_government,,high,Jogos Nhai live and fight in mobile jhats.,https://awoiaf.westeros.org/index.php/Jogos_Nhai
empire,e_great_moraq,,,,,feudal_government,,low,Great Moraq is settled and urbanized but has no described special constitutional form.,https://awoiaf.westeros.org/index.php/Great_Moraq
empire,e_leng,,,,,mandala_government,,high,Leng combines a divine imperial monarchy with powerful religious traditions.,https://awoiaf.westeros.org/index.php/Leng
history_file,lv_k_asshai.txt,,,,,oligarchic_government,,low,Asshai is an ancient urban trade city whose government is unknown; oligarchic is the closest city-state form.,https://awoiaf.westeros.org/index.php/Asshai
history_file,lv_k_astapor.txt,,,,,oligarchic_government,,high,Astapor is governed by its Good Masters.,https://awoiaf.westeros.org/index.php/Astapor
history_file,lv_k_meereen.txt,,,,,oligarchic_government,,high,Meereen is governed by its Great Masters.,https://awoiaf.westeros.org/index.php/Meereen
history_file,lv_k_yunkai.txt,,,,,oligarchic_government,,high,Yunkai is governed by its Wise Masters.,https://awoiaf.westeros.org/index.php/Yunkai
history_file,lv_k_ghiscar.txt,,,,,oligarchic_government,,medium,New Ghis and the Ghiscari city-states are ruled by wealthy slaveholding elites.,https://awoiaf.westeros.org/index.php/New_Ghis
